posicao,time,rodada,vitoria,empate,derrota,gols,gols_sofridos,diferenca_gols,pontos,temporada
1,Cruzeiro,10,6,3,1,27,14,13,21,2003
2,Santos FC,10,5,3,2,17,9,8,18,2003
3,São Paulo FC,10,5,3,2,22,19,3,18,2003
4,Atlético Mineiro,10,5,2,3,19,13,6,17,2003
5,Internacional,10,5,2,3,14,12,2,17,2003
6,Corinthians SP,10,4,4,2,22,14,8,16,2003
7,Guarani - SP,10,4,3,3,17,13,4,15,2003
8,Paraná Clube,10,4,3,3,16,13,3,15,2003
9,Vitória - BA,10,4,3,3,13,14,-1,15,2003
10,Athletico Paranaense,10,4,2,4,18,16,2,14,2003
11,Coritiba - PR,10,4,2,4,14,13,1,14,2003
12,São Caetano - SP,10,3,5,2,13,12,1,14,2003
13,Flamengo RJ,10,3,5,2,14,14,0,14,2003
14,Vasco da Gama - RJ,10,3,4,3,16,17,-1,13,2003
15,Ponte Preta,10,3,4,3,13,15,-2,13,2003
16,Fluminense RJ,10,3,4,3,11,13,-2,13,2003
17,Criciúma - SC,10,3,3,4,13,17,-4,12,2003
18,Grêmio Porto Alegre,10,3,2,5,11,13,-2,11,2003
19,Bahia - BA,10,3,2,5,12,15,-3,11,2003
20,Figueirense - SC,10,2,4,4,11,14,-3,10,2003
21,Fortaleza,10,2,3,5,8,15,-7,9,2003
22,Paysandu - PA,10,2,3,5,18,26,-8,9,2003
23,Juventude - RS,10,1,4,5,8,22,-14,7,2003
24,Goiás - GO,10,1,3,6,18,22,-4,6,2003
1,Cruzeiro,11,7,3,1,29,14,15,24,2003
2,Santos FC,11,6,3,2,20,11,9,21,2003
3,Internacional,11,6,2,3,16,13,3,20,2003
4,Corinthians SP,11,5,4,2,26,14,12,19,2003
5,Paraná Clube,11,5,3,3,22,15,7,18,2003
6,Atlético Mineiro,11,5,3,3,21,15,6,18,2003
7,São Paulo FC,11,5,3,3,24,22,2,18,2003
8,Coritiba - PR,11,5,2,4,17,15,2,17,2003
9,Fluminense RJ,11,4,4,3,13,14,-1,16,2003
10,Guarani - SP,11,4,3,4,19,16,3,15,2003
11,São Caetano - SP,11,3,6,2,13,12,1,15,2003
12,Vitória - BA,11,4,3,4,13,18,-5,15,2003
